pub_date,gender,charWRDS,bodyWRDS,allWRDS,percentage
1960,F,58114,10301,68415,15.056639625813053
1960,M,165377,24350,189727,12.834230236076047
1961,F,107480,19714,127194,15.499158765350568
1961,M,171883,24752,196635,12.587789559335825
1962,F,113907,18640,132547,14.062936166039217
1962,M,240919,33780,274699,12.297096094270456
1963,F,83216,14127,97343,14.51259977604964
1963,M,158844,22802,181646,12.552987679332329
1964,F,78151,13779,91930,14.988578266072011
1964,M,182653,26988,209641,12.87343601680969
1965,F,99545,18123,117668,15.401808478090901
1965,M,233437,34945,268382,13.020619862732971
1966,F,86035,17168,103203,16.635175334050366
1966,M,200728,32457,233185,13.918991358792375
1967,F,103659,20395,124054,16.4404211069373
1967,M,197560,31790,229350,13.860911270983214
1968,F,56956,11837,68793,17.206692541392293
1968,M,134228,21675,155903,13.902875505923554
1969,F,120224,21811,142035,15.35607420706164
1969,M,212922,30476,243398,12.52105604811872
1970,F,153725,27501,181226,15.174974893227242
1970,M,286757,41952,328709,12.7626563312839
1971,F,123972,26355,150327,17.531780718034685
1971,M,262891,41857,304748,13.734954782311942
1972,F,122069,22936,145005,15.817385607392847
1972,M,290157,46503,336660,13.813045802887187
1973,F,130469,25435,155904,16.314526888341543
1973,M,281019,47999,329018,14.58856354363591
1974,F,172445,32885,205330,16.015682072760924
1974,M,318189,48920,367109,13.325742490649917
1975,F,145105,23856,168961,14.119234616272394
1975,M,294913,42773,337686,12.666500832133995
1976,F,163611,31406,195017,16.10423706651215
1976,M,333974,56329,390303,14.432120685723657
1977,F,238022,42370,280392,15.110987474678309
1977,M,406390,62530,468920,13.334897210611619
1978,F,262995,50947,313942,16.228156793293028
1978,M,450988,77091,528079,14.598383953915986
1979,F,225152,38921,264073,14.738727548821728
1979,M,448458,69349,517807,13.392827829673989
1980,F,364080,64151,428231,14.980466150278705
1980,M,547487,81536,629023,12.962324112154883
1981,F,330609,62620,393229,15.924563040874402
1981,M,540398,87270,627668,13.903847256830042
1982,F,380797,74025,454822,16.275597926221685
1982,M,593034,101445,694479,14.607353138107849
1983,F,293214,54453,347667,15.662401090698857
1983,M,509011,84446,593457,14.22950609732466
1984,F,384972,73991,458963,16.12134311480446
1984,M,626099,101411,727510,13.939464749625435
1985,F,507470,91439,598909,15.267594910078158
1985,M,744979,119064,864043,13.779869751852628
1986,F,408415,84116,492531,17.0783158826551
1986,M,635278,113987,749265,15.213175578733825
1987,F,517237,102109,619346,16.486584235629195
1987,M,850198,145650,995848,14.625726014411839
1988,F,550606,105265,655871,16.049650007394746
1988,M,906815,150521,1057336,14.235872040675812
1989,F,664184,136744,800928,17.073195093691318
1989,M,1062939,189735,1252674,15.146398823636476
1990,F,617557,118865,736422,16.14088117954108
1990,M,1024886,174534,1199420,14.551533241066517
1991,F,605675,115115,720790,15.970671069243469
1991,M,972028,166917,1138945,14.655404782496081
1992,F,680312,131771,812083,16.226297065694023
1992,M,1009387,175777,1185164,14.831449487159585
1993,F,620820,119711,740531,16.165562278959285
1993,M,885084,163755,1048839,15.612977778286277
1994,F,755199,150915,906114,16.65518908216847
1994,M,1038136,182851,1220987,14.975671321643883
1995,F,735390,142454,877844,16.227712440934834
1995,M,1086512,189975,1276487,14.88264275311852
1996,F,873956,173083,1047039,16.530711845499546
1996,M,1294753,221735,1516488,14.62161256798603
1997,F,804239,152103,956342,15.904665904038515
1997,M,1176060,201008,1377068,14.59681003407239
1998,F,1083746,207703,1291449,16.08294249327693
1998,M,1540277,255399,1795676,14.223000140337122
1999,F,1083670,201719,1285389,15.693225941718811
1999,M,1433749,242294,1676043,14.456311681740864
2000,F,1207426,236041,1443467,16.35236551995993
2000,M,1637609,284222,1921831,14.789125578679915
